WireTransferID,OriginatingCountry,BeneficiaryCountry,Currency,TransferAmount,SenderAccountType,KYC_VerificationLevel,PEP_Status,SanctionsScreeningResult,TransactionsInLast24h,StructuringRiskIndex,AML_SuspiciousActivityFlag
SWIFT_00000569,KY,CY,EUR,172488.06,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,4,0.81,1
SWIFT_00000570,IN,CY,INR,4105.06,ESCROW,TIER_1_STANDARD,YES,CLEAR,8,0.01,1
SWIFT_00000571,US,SG,GBP,150721.11,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,5,0.89,1
SWIFT_00000572,PA,IN,GBP,125841.81,ESCROW,TIER_1_STANDARD,NO,CLEAR,5,0.32,1
SWIFT_00000573,CH,CY,USD,162856.79,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.41,0
SWIFT_00000574,AE,VG,USD,160872.49,ESCROW,TIER_1_STANDARD,NO,CLEAR,4,0.90,1
SWIFT_00000575,US,CY,INR,154855.93,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,5,0.12,1
SWIFT_00000576,CH,VG,GBP,16541.77,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,2,0.49,1
SWIFT_00000577,SG,IN,AED,63691.17,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,7,0.16,0
SWIFT_00000578,GB,GB,SGD,27232.15,ESCROW,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,14,0.04,1
SWIFT_00000579,PA,AE,AED,237332.95,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,8,0.53,1
SWIFT_00000580,SG,SG,AED,247539.92,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.63,1
SWIFT_00000581,DE,AE,EUR,222781.28,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,YES,CLEAR,8,0.33,1
SWIFT_00000582,DE,CY,SGD,11707.36,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,5,0.00,1
SWIFT_00000583,CH,IN,INR,3890.66,ESCROW,TIER_2_ENHANCED,NO,CLEAR,5,0.13,0
SWIFT_00000584,GB,RU,GBP,75817.32,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,4,0.61,0
SWIFT_00000585,DE,US,GBP,243971.01,ESCROW,TIER_2_ENHANCED,NO,CLEAR,7,0.23,0
SWIFT_00000586,AE,HK,INR,241021.93,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,3,0.50,0
SWIFT_00000587,US,CY,AED,9547.27,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,9,0.01,0
SWIFT_00000588,CH,CY,EUR,231194.53,ESCROW,TIER_1_STANDARD,NO,CLEAR,10,0.25,0
SWIFT_00000589,IN,CY,GBP,238569.32,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,5,0.58,1
SWIFT_00000590,IN,HK,USD,230678.27,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,10,0.76,1
SWIFT_00000591,KY,AE,USD,77151.56,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,3,0.61,1
SWIFT_00000592,PA,US,GBP,16272.86,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,3,0.15,1
SWIFT_00000593,SG,HK,USD,181341.77,ESCROW,TIER_2_ENHANCED,YES,CLEAR,11,0.44,1
SWIFT_00000594,KY,GB,GBP,61616.12,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.24,1
SWIFT_00000595,GB,AE,INR,243637.64,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,1,0.57,1
SWIFT_00000596,GB,AE,INR,220505.95,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,2,0.02,1
SWIFT_00000597,US,RU,GBP,57467.01,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,6,0.11,0
SWIFT_00000598,PA,GB,SGD,119494.28,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,12,0.55,1
SWIFT_00000599,CH,GB,SGD,39388.25,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,13,0.71,0
SWIFT_00000600,IN,RU,USD,62106.64,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,9,0.46,0
SWIFT_00000601,SG,RU,EUR,86231.42,OFFSHORE_TRUST,TIER_1_STANDARD,YES,CLEAR,11,0.69,1
SWIFT_00000602,DE,CY,AED,147451.76,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,YES,CLEAR,5,0.43,1
SWIFT_00000603,DE,VG,AED,187187.33,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,1,0.29,1
SWIFT_00000604,KY,IN,SGD,151878.70,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,12,0.79,1
SWIFT_00000605,AE,SG,SGD,173905.46,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,7,0.81,1
SWIFT_00000606,CH,GB,USD,53471.09,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,10,0.06,0
SWIFT_00000607,AE,GB,GBP,127833.30,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,3,0.24,1
SWIFT_00000608,SG,VG,GBP,172100.73,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,6,0.37,1
SWIFT_00000609,CH,IN,AED,166431.08,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,13,0.33,1
SWIFT_00000610,DE,SG,INR,46681.97,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,5,0.08,0
SWIFT_00000611,GB,AE,SGD,59624.51,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,10,0.71,0
SWIFT_00000612,KY,GB,EUR,51526.26,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,11,0.03,1
SWIFT_00000613,US,IN,AED,4227.36,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,7,0.88,1
SWIFT_00000614,KY,GB,SGD,156969.06,ESCROW,TIER_1_STANDARD,NO,CLEAR,1,0.17,1
SWIFT_00000615,PA,SG,USD,155355.85,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,3,0.83,1
SWIFT_00000616,IN,CY,INR,217208.26,ESCROW,TIER_2_ENHANCED,NO,CLEAR,14,0.46,1
SWIFT_00000617,US,GB,GBP,144933.90,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,1,0.92,1
SWIFT_00000618,AE,HK,INR,62287.22,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,4,0.06,0
SWIFT_00000619,CH,HK,GBP,60252.71,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,7,0.24,0
SWIFT_00000620,DE,GB,INR,160809.89,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,11,0.27,1
SWIFT_00000621,IN,SG,EUR,143457.29,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,10,0.08,1
SWIFT_00000622,CH,IN,EUR,216667.54,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,YES,CLEAR,6,0.07,1
SWIFT_00000623,CH,SG,AED,10831.20,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.23,0
SWIFT_00000624,PA,RU,SGD,122460.52,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,13,0.40,1
SWIFT_00000625,SG,VG,EUR,130401.06,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,6,0.41,0
SWIFT_00000626,CH,VG,AED,16043.91,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,5,0.30,0
SWIFT_00000627,US,RU,SGD,114573.98,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,15,0.55,1
SWIFT_00000628,SG,AE,EUR,143504.71,ESCROW,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,9,0.66,1
SWIFT_00000629,US,CY,AED,185947.12,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,13,0.83,0
SWIFT_00000630,KY,AE,AED,20143.17,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,10,0.51,1
SWIFT_00000631,PA,HK,EUR,172313.85,ESCROW,TIER_1_STANDARD,NO,CLEAR,2,0.03,1
SWIFT_00000632,AE,HK,EUR,22255.98,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,13,0.37,0
SWIFT_00000633,AE,US,AED,192583.43,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,4,0.40,1
SWIFT_00000634,US,RU,EUR,29388.62,ESCROW,TIER_1_STANDARD,NO,CLEAR,15,0.07,0
SWIFT_00000635,CH,HK,SGD,182815.46,ESCROW,TIER_2_ENHANCED,NO,CLEAR,2,0.59,1
SWIFT_00000636,DE,GB,SGD,177828.82,OFFSHORE_TRUST,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,11,0.98,1
SWIFT_00000637,US,VG,USD,233161.70,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,8,0.79,1
SWIFT_00000638,AE,VG,GBP,148330.99,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,2,0.77,1
SWIFT_00000639,CH,HK,SGD,18171.98,ESCROW,TIER_2_ENHANCED,YES,CLEAR,11,0.82,1
SWIFT_00000640,DE,HK,AED,51200.60,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,9,0.56,1
SWIFT_00000641,CH,CY,AED,162421.17,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,7,0.36,0
SWIFT_00000642,IN,IN,GBP,109336.59,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,13,0.47,0
SWIFT_00000643,CH,IN,EUR,49665.25,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,YES,CLEAR,6,0.57,1
SWIFT_00000644,DE,SG,AED,187370.04,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,14,0.08,1
SWIFT_00000645,DE,CY,AED,99607.48,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,1,0.36,1
SWIFT_00000646,KY,US,GBP,218223.40,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,13,0.02,1
SWIFT_00000647,CH,IN,EUR,75045.21,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,10,0.20,0
SWIFT_00000648,CH,AE,INR,246016.99,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,2,0.65,1
SWIFT_00000649,US,IN,USD,20090.72,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,3,0.66,0
SWIFT_00000650,AE,CY,AED,116698.35,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,7,0.33,0
SWIFT_00000651,KY,HK,GBP,182193.27,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,9,0.23,1
SWIFT_00000652,CH,VG,EUR,72099.04,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,11,0.04,0
SWIFT_00000653,AE,IN,AED,248235.37,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,4,0.58,0
SWIFT_00000654,DE,US,AED,126929.82,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,6,0.42,1
SWIFT_00000655,KY,GB,AED,160164.10,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.07,1
SWIFT_00000656,DE,SG,SGD,221600.73,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,14,0.41,0
SWIFT_00000657,CH,SG,USD,145146.14,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.63,0
SWIFT_00000658,GB,AE,EUR,219643.36,CORPORATE_CURRENT,TIER_2_ENHANCED,YES,CLEAR,2,0.74,1
SWIFT_00000659,CH,HK,INR,241465.44,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.06,0
SWIFT_00000660,GB,HK,AED,216000.71,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,12,0.21,0
SWIFT_00000661,GB,GB,EUR,87388.85,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.96,0
SWIFT_00000662,GB,VG,INR,91845.72,ESCROW,TIER_1_STANDARD,NO,CLEAR,1,0.69,0
SWIFT_00000663,IN,CY,INR,210186.45,CORPORATE_CURRENT,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,8,0.01,1
SWIFT_00000664,CH,US,AED,163219.49,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.00,0
SWIFT_00000665,PA,HK,GBP,107872.60,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,8,0.98,1
SWIFT_00000666,DE,US,USD,219311.50,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.46,0
SWIFT_00000667,US,CY,SGD,32045.81,ESCROW,TIER_1_STANDARD,NO,CLEAR,14,0.90,0
SWIFT_00000668,KY,RU,AED,172922.23,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,YES,CLEAR,8,0.56,1
SWIFT_00000669,IN,HK,INR,236157.95,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,3,0.39,1
SWIFT_00000670,US,CY,EUR,132820.42,ESCROW,TIER_1_STANDARD,NO,CLEAR,9,0.06,1
SWIFT_00000671,GB,GB,SGD,78501.57,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.70,0
SWIFT_00000672,KY,SG,AED,82008.07,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,4,0.47,1
SWIFT_00000673,IN,HK,SGD,174602.94,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,9,0.64,1
SWIFT_00000674,SG,AE,GBP,224630.28,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,5,0.16,1
SWIFT_00000675,GB,HK,SGD,233984.32,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,9,0.18,1
SWIFT_00000676,KY,VG,GBP,102361.89,CORPORATE_CURRENT,TIER_1_STANDARD,YES,CLEAR,8,0.63,1
SWIFT_00000677,US,IN,GBP,177182.57,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,1,0.97,0
SWIFT_00000678,SG,RU,SGD,241367.22,ESCROW,TIER_2_ENHANCED,YES,CLEAR,10,0.98,1
SWIFT_00000679,DE,CY,GBP,240510.29,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,12,0.48,1
SWIFT_00000680,GB,IN,USD,204772.16,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,15,0.54,1
SWIFT_00000681,KY,HK,USD,88794.05,ESCROW,TIER_2_ENHANCED,NO,CLEAR,4,0.68,1
SWIFT_00000682,PA,RU,INR,133640.22,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,YES,CLEAR,10,0.79,1
SWIFT_00000683,DE,US,GBP,228541.69,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,11,0.22,1
SWIFT_00000684,KY,GB,SGD,27728.61,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,13,0.97,1
SWIFT_00000685,DE,CY,INR,93444.16,ESCROW,TIER_1_STANDARD,NO,CLEAR,13,0.04,0
SWIFT_00000686,AE,AE,SGD,246600.47,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,5,0.01,1
SWIFT_00000687,CH,RU,AED,220673.30,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,7,0.74,1
SWIFT_00000688,CH,US,SGD,93100.34,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,15,0.59,0
SWIFT_00000689,AE,SG,SGD,160975.91,ESCROW,TIER_2_ENHANCED,NO,CLEAR,13,0.71,0
SWIFT_00000690,CH,VG,AED,153172.42,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.49,1
SWIFT_00000691,AE,CY,USD,87913.40,ESCROW,TIER_2_ENHANCED,NO,CLEAR,12,0.37,0
SWIFT_00000692,SG,SG,INR,180253.09,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,6,0.24,1
SWIFT_00000693,CH,IN,EUR,61341.18,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,2,0.34,0
SWIFT_00000694,IN,CY,AED,85846.56,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,YES,CLEAR,13,0.49,1
SWIFT_00000695,IN,GB,USD,41318.16,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.16,0
SWIFT_00000696,DE,AE,SGD,150965.31,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,YES,CLEAR,14,0.77,1
SWIFT_00000697,US,US,INR,59619.65,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,YES,CLEAR,4,0.32,1
SWIFT_00000698,GB,US,GBP,3342.63,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,13,0.06,1
SWIFT_00000699,GB,AE,EUR,21885.77,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,2,0.72,0
SWIFT_00000700,GB,SG,USD,5435.88,OFFSHORE_TRUST,TIER_1_STANDARD,YES,CLEAR,4,0.43,1
SWIFT_00000701,DE,GB,INR,34539.42,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.65,0
SWIFT_00000702,SG,HK,AED,43915.68,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,7,0.47,1
SWIFT_00000703,SG,CY,USD,81794.92,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,YES,CLEAR,4,0.91,1
SWIFT_00000704,SG,VG,GBP,1597.82,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,14,0.00,1
SWIFT_00000705,GB,HK,GBP,68178.74,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,10,0.57,1
SWIFT_00000706,KY,CY,EUR,53350.35,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,5,0.73,1
SWIFT_00000707,AE,SG,EUR,200231.41,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.16,1
SWIFT_00000708,DE,CY,GBP,31445.73,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,6,0.85,1
SWIFT_00000709,CH,VG,AED,232672.95,ESCROW,TIER_2_ENHANCED,NO,CLEAR,3,0.82,0
SWIFT_00000710,KY,AE,INR,84184.70,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,12,0.21,1
SWIFT_00000711,GB,RU,SGD,135961.71,ESCROW,TIER_2_ENHANCED,NO,CLEAR,5,0.87,1
SWIFT_00000712,IN,VG,SGD,157307.26,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,13,0.10,1
SWIFT_00000713,SG,IN,EUR,83260.44,ESCROW,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,1,0.07,1
SWIFT_00000714,GB,HK,GBP,53678.03,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,3,0.87,1
SWIFT_00000715,DE,US,AED,87216.98,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,14,0.26,0
SWIFT_00000716,IN,RU,INR,62593.75,ESCROW,TIER_1_STANDARD,YES,CLEAR,15,0.17,1
SWIFT_00000717,GB,SG,USD,214029.77,ESCROW,TIER_2_ENHANCED,NO,CLEAR,7,0.27,0
SWIFT_00000718,CH,VG,INR,128285.43,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,2,0.90,1
SWIFT_00000719,CH,HK,GBP,93160.61,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,10,0.77,0
SWIFT_00000720,SG,IN,SGD,200430.87,CORPORATE_CURRENT,TIER_1_STANDARD,YES,CLEAR,12,0.74,1
SWIFT_00000721,KY,RU,AED,106145.67,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,1,0.22,1
SWIFT_00000722,GB,GB,AED,140248.35,CORPORATE_CURRENT,TIER_2_ENHANCED,YES,CLEAR,11,0.99,1
SWIFT_00000723,PA,US,INR,184878.72,OFFSHORE_TRUST,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,10,0.46,1
SWIFT_00000724,KY,RU,AED,201433.53,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,15,0.17,1
SWIFT_00000725,SG,AE,GBP,30749.52,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,10,0.14,0
SWIFT_00000726,DE,IN,INR,42374.99,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,3,0.43,0
SWIFT_00000727,CH,HK,USD,49978.38,ESCROW,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,12,0.16,1
SWIFT_00000728,IN,VG,USD,143983.90,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,15,0.15,1
SWIFT_00000729,PA,RU,SGD,205058.60,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.82,1
SWIFT_00000730,AE,US,GBP,141794.12,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,4,0.88,0
SWIFT_00000731,US,SG,GBP,987.39,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.21,0
SWIFT_00000732,IN,VG,SGD,157540.98,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,9,0.37,1
SWIFT_00000733,AE,US,INR,232988.90,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,11,0.12,1
SWIFT_00000734,IN,IN,EUR,178271.88,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.84,0
SWIFT_00000735,SG,VG,SGD,32274.56,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,10,0.77,0
SWIFT_00000736,PA,IN,EUR,21862.32,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,2,0.99,1
SWIFT_00000737,DE,US,SGD,81497.53,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,8,0.52,1
SWIFT_00000738,IN,US,GBP,153596.62,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,6,0.03,0
SWIFT_00000739,GB,RU,USD,78697.83,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,12,0.71,1
SWIFT_00000740,DE,CY,AED,50480.15,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,CLEAR,4,0.57,1
SWIFT_00000741,PA,SG,GBP,84966.95,ESCROW,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,2,0.54,1
SWIFT_00000742,PA,AE,AED,187283.91,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,6,0.57,1
SWIFT_00000743,DE,SG,AED,132003.87,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,6,0.07,1
SWIFT_00000744,GB,VG,EUR,45102.70,OFFSHORE_TRUST,TIER_1_STANDARD,YES,CLEAR,5,0.93,1
SWIFT_00000745,KY,RU,SGD,125799.54,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,14,0.01,1
SWIFT_00000746,AE,RU,USD,12091.18,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,2,0.52,1
SWIFT_00000747,KY,IN,USD,137322.48,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,15,0.71,1
SWIFT_00000748,AE,AE,EUR,173253.29,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,3,0.83,0
SWIFT_00000749,DE,AE,GBP,233210.71,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.09,1
SWIFT_00000750,KY,CY,GBP,125385.32,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,1,0.85,1
SWIFT_00000751,SG,GB,AED,33327.11,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,2,0.33,0
SWIFT_00000752,AE,RU,USD,81452.76,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,CLEAR,8,0.55,1
SWIFT_00000753,PA,AE,EUR,204196.01,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,YES,CLEAR,15,0.33,1
SWIFT_00000754,US,VG,SGD,185797.32,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,10,0.30,0
SWIFT_00000755,KY,CY,SGD,212356.04,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.51,1
SWIFT_00000756,US,AE,INR,18642.59,ESCROW,TIER_2_ENHANCED,NO,CLEAR,14,0.63,0
SWIFT_00000757,AE,US,GBP,30970.85,ESCROW,TIER_1_STANDARD,NO,CLEAR,8,0.52,0
SWIFT_00000758,PA,IN,INR,71572.05,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,11,0.13,1
SWIFT_00000759,CH,AE,AED,231346.56,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,15,0.04,0
SWIFT_00000760,DE,HK,EUR,229152.81,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.51,0
SWIFT_00000761,PA,GB,AED,135304.64,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,5,0.79,1
SWIFT_00000762,US,CY,EUR,51814.29,ESCROW,TIER_2_ENHANCED,NO,CLEAR,13,0.58,0
SWIFT_00000763,PA,GB,SGD,204296.25,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,9,0.33,1
